,L_1,T_1,L_2,T_2,L_4,T_4,L_8,T_8,L_16,T_16,L_32,T_32,L_64,T_64,L_128,T_128,L_256,T_256,L_512,T_512,L_784,T_784,digit
32097,2.1593404321042766,210.16910244616025,2.228869166297586,207.1525351336063,3.3049924974256095,178.2320053106838,6.862730412162307,133.85524639356703,10.725689758770256,102.36196949741574,17.06159532642357,73.39534241221011,22.419145845522067,58.44955162666168,42.86575309292424,33.27607516613083,118.37058958247907,13.11837241804328,338.4241229235,0.16414984631732876,586.6377363149601,0,0
35107,2.133207000142605,441.39438946456374,3.094443492782805,399.6902707721301,3.438589776762861,388.65873761925496,11.034412319296584,283.21631063396956,14.564457782004766,255.9880690765746,31.98444314285812,174.79896805814192,48.16875253109066,131.1795103129996,111.30599422104362,60.783575765094554,257.7521964078282,13.188046568970115,462.1633197349249,0.22625748499918039,1109.1465272318612,0,0
3492,2.7451511157416495,450.0698183395998,2.789651898768656,448.1391114308691,8.06307249733352,314.7129380496638,11.510273809005874,270.3058312346168,16.362982327396775,227.79497753069907,31.345363221078365,153.16669916767333,50.24540601089286,101.37518284241906,91.81465425963354,51.88508449942446,195.5942109986763,20.736741266602323,538.8352185793675,0.49803822295436595,2328.013257510714,0,0
21353,0.5163949429205954,354.1761839651878,0.7578428815679633,343.7007457473398,1.1218416760291383,334.0791382392396,3.6385938357141288,298.78662281102373,18.85984045128154,173.1685363823852,25.425552952357048,141.6414394548807,42.22478884640682,95.23702086904417,85.48304459951862,44.0254572081606,178.18636793217635,18.104943399996767,485.89254089983837,0.5105869747285527,963.4142622238888,0,0
42456,8.410162215048766e-05,256.0486279716684,0.7675074521787708,222.75326856323386,4.4817565862021445,133.49892834929014,5.878997381370334,115.66812663716128,6.697052988999861,108.88063974507212,12.737514826623652,80.13536108465922,17.584326090393077,65.4305105449013,41.37778603215119,37.18895490518479,133.73213699429317,8.7154903949004,262.17727848719466,0.12094653095217962,863.165222575816,0,0
40414,0.12360912532348949,261.1009515473244,0.2893721785877734,253.90917085538894,2.353463836099142,188.20729412049684,5.057442834342959,149.69549460562854,13.214059514503665,92.81779147602634,14.945220045804742,84.54706078834275,22.12828994624429,63.79507122033264,39.44581197728521,45.57523329137302,147.47537466954387,14.516186436891298,392.54222077502897,0.3348320960487664,1033.5859561053107,0,0
33823,1.0075716579369787,401.4812530679674,2.660510600444808,329.7669950497843,4.1343046539953106,294.35532568687086,5.214828839036624,282.1592842760776,16.97106427057727,180.53135560347815,29.569095103603264,113.67138845353963,37.43833548758304,93.86015902833996,75.2650460384696,53.737374258922166,187.29037183798113,16.812990103417516,465.4385204248486,0.5612441519277265,1384.8860297387698,0,0
25159,0.5177916623223049,655.9452478063969,2.911245791352944,552.103065527377,3.0540333802329376,547.4975926107257,5.616156634471848,510.8612474116003,14.493545310690717,434.8307923575585,29.459417015593857,365.6666001403951,94.18316992684043,183.77937998726173,191.79821038514208,67.17862619311836,386.5058254683315,16.529203527608946,620.4976395853389,0.3181699422117252,1971.7354022852353,0,0
39839,1.0631718817383753,173.97063122675678,1.7470440975604289,144.3002137202754,2.1088401574659246,135.28349908851948,4.770390206736007,96.85482947766201,7.259238693812335,75.68382643679453,10.616194869956495,60.01721188045031,17.973650869412648,39.855574559308614,29.496451299265715,25.86790646681936,81.06905597114698,9.59793031984228,246.40083643016925,0.23925265620848016,577.2288971954291,0,0
29695,0.9608315904537557,1507.6703631617563,1.0218787973270962,1505.0217746189985,3.127736208495185,1452.016054899256,18.11647565566083,1283.756986743662,32.98262353382566,1152.431074976187,121.45153669887412,710.1826425206947,245.6608374039865,402.4406908019539,399.6607413458347,227.01361104146662,904.8278079229154,48.72799395543247,1666.249643026347,1.4227067220636382,4475.970518873526,0,0
48526,0.0035085748056323937,220.71903320758,0.12958293142273605,215.24918268412512,2.19772723556563,165.70129386498346,2.6390974077660347,160.00992709389723,6.855321737728666,128.98054310043855,15.823198015684566,89.22008780270806,26.214222333336462,58.71055572887959,49.362077975975595,32.52112445208143,119.72106024403084,9.0068545293738,272.9869653301648,0.3429913038739055,758.9683761011561,0,0
18073,0.4957833141647696,219.30344784786195,0.9457705219545169,199.7803439421878,2.382047702912828,155.9015305566878,5.1844226563121705,120.75594858564882,8.655699787445752,96.52198995846229,10.839288585582068,86.80796773557537,22.314797698302016,53.929554072379574,44.008227320943554,26.8530567649022,98.01541888070297,9.276279109210968,261.8199350378112,0.3286019062340564,521.7331421382451,0,0
41877,0.6809735806618984,411.9224348452415,0.6817633435592483,411.88817026429587,1.130959196970239,401.0969525391313,9.3924323165671,293.12753653264014,24.54195573561783,172.0268559070312,27.433964547880358,158.80983735591346,39.73551066677724,125.71207552506401,81.01734949666724,77.05051706443801,249.2573223912925,23.530263317451215,642.1142600534738,0.5312474673892825,1630.0907472138738,0,0
11403,0.8215287229792807,340.10734938521074,0.8873057152042013,337.25355480709936,1.6770186792888468,316.98946092909574,4.122110444188651,277.84048344290403,11.126100634941743,224.69636127190418,29.0715161735292,130.3045718528117,48.02068054497187,80.91474215720366,73.25276858976967,49.375193732151594,174.14266548637082,23.076461015944496,580.1915080772798,0.7917937050964097,1126.510604613537,0,0
23172,0.05709973691053447,277.6502457558775,1.03173982918201,235.36459971381788,2.0692611228767155,202.45303763231178,8.472473021652988,114.92727637536618,10.610183531415528,94.52618915173836,14.883935399392877,74.07210723571045,20.372346511542215,57.82767999100921,38.3984190741606,36.429846797623064,120.50446937363506,14.8803162410419,369.35209180156227,0.2863831347844836,1402.0040776353223,0,0
11429,0.41664952849232617,174.03100394023872,1.0888090066380585,144.86875420100995,2.0613266690244103,117.01522679813276,3.175871255349756,101.92315298498286,7.408902943641262,65.20471032540564,11.25557184907487,47.95407244384745,15.325485196208982,36.50622859768615,28.869806469465555,19.66587486913734,76.18898264432593,7.217264263678901,199.6485080896692,0.2950960510380949,503.9572646868122,0,0
7858,0.37825838564177694,187.03461611483755,0.6891964659286645,173.5442849574502,2.642092306699698,111.27862398113568,4.408089571232816,87.35934282838451,5.779964286496782,75.53914316542551,11.34185129100435,48.89579608961911,15.861870529749075,35.65333730030348,30.0171896139814,20.20880528174674,66.3584871532798,9.243853897510375,226.14796701029687,0.11984627906750676,983.4736822086065,0,0
51303,0.48555157576003927,419.6728067398025,4.19784729220864,258.6114837817534,4.32966272961025,255.40946836228662,4.9817877052538195,246.62495906617332,9.514529517028977,207.34130185517265,21.521171207379556,147.4849593821592,33.59238301431844,114.31711005959848,75.02151723768814,66.1887178180013,234.8078651245238,12.033226669609233,444.5582935625408,0.6312858610099548,1425.963317883684,0,0
20632,0.08816701422668442,203.9442314509057,0.23261804879325515,197.6770920560388,3.68395904570806,115.00969452953724,4.1836143279594475,108.51467707188503,6.4072387981786205,88.51548945330275,11.818156024731833,63.561051760167125,18.425399447765106,44.5949277186763,35.7846531286523,24.25919969327758,83.04027637565905,7.655274611801843,233.86504066883478,0.1849356410212722,435.6476300888396,0,0
44399,0.7557876678464431,247.2625833035578,1.740692020691073,204.5316129895732,2.557370686281552,179.3600864122598,6.00059880407057,140.5603493867639,7.311301196142251,128.06682093089685,13.248816627993534,99.32352590229432,21.231919028007603,78.56811854833154,54.85629635389621,41.74141162348239,158.78861602530043,13.419833217617045,378.176645163168,0.6704346405890608,714.9538258560946,0,0
